"Module1","User Name","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer"
"Code","Check Item","2020/02/14 16:24:22","2020/02/17 08:30:34","2020/02/17 09:05:48","2020/02/17 15:54:45","2020/02/17 16:08:54","2020/02/17 16:10:20","2020/02/18 14:02:25","2020/02/18 14:04:09","2020/02/20 10:04:12","2020/02/20 10:05:09","2020/02/20 13:07:29","2020/02/20 15:24:14","2020/02/21 09:58:14","2020/02/21 16:17:17","2020/02/22 09:22:29","2020/02/24 13:27:50","2020/02/24 15:44:20","2020/02/24 18:06:11","2020/02/25 11:48:18","2020/02/27 13:31:41","2020/02/27 18:18:27","2020/02/28 13:42:04","2020/02/28 14:27:52","2020/02/28 16:42:36","2020/02/29 15:53:27","2020/02/29 15:54:57","2020/03/02 10:08:10","2020/03/02 10:18:37","2020/03/02 13:15:51","2020/03/02 14:57:41"
"31-0001","机架单元：位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31-0002","机架单元：清洁，涂抹油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31-0003","机架单元：清洁","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15-0101","R1点胶单元: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15-0102","R1点胶单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15-0103","R1点胶单元: 确认","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16-0201","R2点胶单元: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16-0202","R2点胶单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16-0203","R2点胶单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","〇"
"09-0301","反应容器运输装置: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","〇","〇","〇","〇","〇",""
"09-0302","反应容器运输装置: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","〇","〇","","","","","",""
"09-0303","反应容器运输装置: 验证","","","","","","","","","","","","","","","","","","","〇","〇","〇","〇","","","","","","","",""
"13-0401","旅客和废物处理单位: 位置调整","","","","","","","","","","","","","","","","〇","〇","〇","","","","","","","","","","","",""
"13-0402","旅客和废物处理单位: 清洁，涂油脂","","","","","","","","","","","","〇","〇","〇","〇","","","","","","","","","","","","","","",""
"08-0501","样品分配单元: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08-0502","样品分配单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08-0503","样品分配单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-0601","箱子运输单位: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-0602","箱子运输单位: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17-0702","BF1单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17-0704","BF1单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19-0802","BF2单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19-0804","BF2单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21-0904","PTr液体单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14-1004","Tr / pTr导轨: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07-1101","STAT单位: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07-1102","STAT单位: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20-1202","稀释单位: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20-1203","稀释单位: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12-1301","搅拌单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12-1302","搅拌单元: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12-1303","搅拌单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10-1401","反应表BF表: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1501","冷却器单元: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-1601","总体: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
