"Module2","User Name","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer"
"Code","Check Item","2020/02/14 16:24:22","2020/02/17 08:30:34","2020/02/17 09:05:48","2020/02/17 15:54:45","2020/02/17 16:08:54","2020/02/17 16:10:20","2020/02/18 14:02:25","2020/02/18 14:04:09","2020/02/20 10:04:12","2020/02/20 10:05:09","2020/02/20 13:07:29","2020/02/20 15:24:14","2020/02/21 09:58:14","2020/02/21 16:17:17","2020/02/22 09:22:29","2020/02/24 13:27:50","2020/02/24 15:44:20","2020/02/24 18:06:11","2020/02/25 11:48:18","2020/02/27 13:31:41","2020/02/27 18:18:27","2020/02/28 13:42:04","2020/02/28 14:27:52","2020/02/28 16:42:36","2020/02/29 15:53:27","2020/02/29 15:54:57","2020/03/02 10:08:10","2020/03/02 10:18:37","2020/03/02 13:15:51","2020/03/02 14:57:41"
"31-0003","机架单元：清洁","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31-0004","机架单元: 校验","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15-0102","R1点胶单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16-0202","R2点胶单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08-0502","样品分配单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08-0503","样品分配单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-0602","箱子运输单位: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17-0701","BF1单元: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17-0702","BF1单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17-0703","BF1单元: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19-0801","BF2单元: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19-0802","BF2单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19-0803","BF2单元: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19-0805","BF2单元: 交换","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21-0901","PTr液体单元: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21-0902","PTr液体单元: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21-0903","PTr液体单元: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14-1001","Tr / pTr导轨: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14-1002","Tr / pTr导轨: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14-1003","Tr / pTr导轨: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14-1004","Tr / pTr导轨: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14-1005","Tr / pTr导轨: 交换","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20-1201","稀释单位: 位置调整","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20-1202","稀释单位: 清洁，涂油脂","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20-1204","稀释单位: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12-1303","搅拌单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1502","冷却器单元: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-1601","总体: 洗涤","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-1602","总体: 交换","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-1603","总体: 验证","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
