"Module2","User Name","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer","developer"
"Code","Check Item","2020/02/14 15:21:30","2020/02/14 16:21:58","2020/02/17 15:53:30","2020/02/17 16:00:29","2020/02/18 10:17:13","2020/02/19 11:18:14","2020/02/22 13:43:13","2020/02/25 08:32:40","2020/02/28 14:13:56","2020/02/28 14:22:36","2020/02/29 15:41:55","2020/03/02 13:26:14","2020/03/02 13:57:13"
"00-0201","清洗液罐，过滤器","","","","","","","","","","","","",""
"00-0202","纯净水箱，过滤器","","","","","","","","","","","","",""
"00-0203","风扇海绵","","","","","","","","","","","","",""
"00-0204","检查并清洁稀释剂喷嘴","","","","","","","","","","","","",""
"00-0205","检查和清洁BF喷嘴","","","","","","","","","","","","",""
"00-0206","检查和清洁pTr / Tr喷嘴","","","","","","","","","","","","",""
"00-0207","检查消耗品的使用次数（必要时提出更换要求）","","","","","","","","","","","","",""
"00-0208","清洁废液箱","","","","","","","","","","","","",""
"00-0209","清洁清洁液箱","","","","","","","","","","","","",""
"00-0210","清洁废液箱缓冲器","","","","","","","","","","","","",""
"00-0211","清洁清洗液箱缓冲器","","","","","","","","","","","","",""
